State Name,2012,2013,2014,2015,2016,2017,2018
Alabama,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Alaska,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Arizona,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Arkansas,Republican,Republican,Republican,Republican,Republican,Republican,Republican
California,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Colorado,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Connecticut,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Delaware,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
District of Columbia,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Florida,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Republican
Georgia,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Hawaii,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Idaho,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Illinois,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Indiana,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Iowa,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Republican
Kansas,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Kentucky,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Louisiana,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Maine,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Maryland,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Massachusetts,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Michigan,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Republican
Minnesota,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Mississippi,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Missouri,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Montana,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Nebraska,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Nevada,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
New Hampshire,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
New Jersey,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
New Mexico,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
New York,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
North Carolina,Republican,Republican,Republican,Republican,Republican,Republican,Republican
North Dakota,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Ohio,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Republican
Oklahoma,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Oregon,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Pennsylvania,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Republican
Rhode Island,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
South Carolina,Republican,Republican,Republican,Republican,Republican,Republican,Republican
South Dakota,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Tennessee,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Texas,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Utah,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Vermont,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Virginia,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Washington,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
West Virginia,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Wisconsin,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Republican
Wyoming,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Puerto Rico,,,,,,,
